id_vacancy|job_vacancy|description|salary
86864873|Бухгалтер|<p>Jack Poker - быстрорастущий entertainment стартап с сильным технологическим стеком, развивающий покерный рум на рынках Европы, Северной и Латинской Америки.</p> <p>Мы создаем уникальный продукт, ориентированный на игроков-любителей, и дифференциируемся от основного рынка покера, который более 20 лет строился вокруг профессионалов, зарабатывающих на игре деньги.</p> <p>Наша цель - стать онлайн покер румом №1 для любителей за счет принципиально нового подхода - фокуса на опыте и удовольствии от игры, навыках и безопасной игре любителей.</p> <p><strong>Основные задачи:</strong></p> <ul> <li>Выплаты партнёрам по привлечению трафика.</li> <li>Выстраивание процессов выставления счётов и выплат.</li> <li>Работа с отчётностью — P&amp;L и работа с бизнес-моделью.</li> <li>Выплата зарплат и прочих компенсаций.</li> </ul> <p><strong>У тебя точно получится, если:</strong></p> <ul> <li>Ты инициативен: умеешь и стремишься проактивно выявлять узкие места по своей инициативе.</li> <li>Обладаешь способностью и желанием структурировать хаос, разбираться в неопределённости.</li> <li>Ты открыт новому и готов экспериментировать!</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Удаленную работу из любой точки мира.</li> <li>Конкурентоспособную з/п, соответствующую твоему опыту и навыкам.</li> <li>Возможность влиять на процессы.</li> <li>Работу в молодой и динамичной компании.</li> </ul>|1200.0
86125519|Диспетчер чатов, удаленно|<p>Постройте вашу карьеру в Яндекс. Необходимо будет заполнить небольшую анкету, после чего с вами свяжутся для интервью.</p> <p> </p> <p><strong>Кого ищем?</strong></p> <p>Специалиста поддержки в сервисы Яндекс Go. Мы консультируем пользователей в чатах и по телефону, помогаем им по любым вопросам и решаем конфликтные ситуации. Делаем это и днем, и ночью (на выбор, конечно). Это удаленная работа на полный день за компьютером.</p> <p><br /><strong>Условия:</strong></p> <ul> <li> <p><strong>Можно зарабатывать 30.000-35.000 рублей при перевыполнении плана</strong></p> </li> <li> <p>Работаете из дома (удаленная работа)</p> </li> <li> <p>Оформление по ТК РФ (белая зарплата со всем вытекающими)</p> </li> <li> <p>Удобные графики: 5/2, 2/2</p> </li> <li> <p><strong>Смены возможны любые на выбор (с раннего утра и до полностью ночных)</strong></p> </li> <li> <p>Работа только на входящих звонках</p> </li> <li> <p>Компенсация затрат на интернет</p> </li> <li> <p>Возможность роста и развития в Яндексе</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы не требуется</li> <li>Обязательно наличие ПК или ноутбука</li> </ul> <p><strong>Почему это отличная вакансия?</strong></p> <ul> <li>Работа в крупнейшей IT компании страны</li> <li>Белая зарплата с возможностью роста</li> <li>Работаете в удобных условиях дома</li> <li>Возможность карьерного роста и развития</li> </ul> <p><br /><strong>КАК ОТКЛИКНУТЬСЯ?</strong></p> <p><strong>Нажмите откликнуться. В ответ мы пришлем ссылку на анкету </strong>(проверяйте почту и лк)<strong>. </strong>Заполните ее, после чего мы свяжемся с вами в течение 1-2 дней, если вы подходите.</p> <p><br /><strong>Количество мест ограничено</strong>. Поторопитесь. Вакансия скоро закроется.<br /><br />Будет плюсом опыт работы на вакансиях:<br />оператор колл-центра, диспетчер, менеджер по работе с клиентами, специалист поддержки<br /><br /><strong>Вакансию можно найти по запросам:</strong><br />«работа на дому, удаленная работа, работа без опыта, работа в яндексе, работа день через день, ночная работа, удаленка, работа в ночь, сменный график, работа для начинающих, работа дистанционно, диспетчер такси»</p>|37000.0
86579145|Инженер технической поддержки IT-проектов|<p><strong>В качестве инженера технической поддержки ты будешь:</strong></p> <ul> <li> <p>разбираться с проблемами в случае сбоев и ошибок,</p> </li> <li> <p>вести запросы клиентов в системе Service Desk;</p> </li> <li> <p>взаимодействовать с разработчиками компаний-владельцев продукта и кей-юзерами систем;</p> </li> <li> <p>общаться с заказчиком посредством электронной почты, чатов telegram и по телефону;</p> </li> <li> <p>соблюдать сроки обработки обращений;</p> </li> <li> <p>заниматься мониторингом работоспособности систем;</p> </li> <li> <p>выполнять технические операции по инструкции (заведение новых пользователей, выдача прав, заведение акций интернет-магазина через админ панель и тд)</p> </li> <li> <p>тестировать новые решения и разрабатывать инструкции к ним;</p> </li> </ul> <p><strong>Ты подходишь нам, если:</strong></p> <ul> <li> <p>Знаешь SQL на базовом уровне (SELECT, UPDATE);</p> </li> <li> <p>имеешь средне-специальное, высшее техническое или дополнительное образование в сфере IT (разработка, тестирование, кибербезопасность, инженер ЧПУ, проектный менеджмент);</p> </li> <li> <p>грамотная устная и письменная речь, четкая дикция;</p> </li> <li> <p>ты умеешь хорошо объяснять и можешь понятно донести информацию до клиента, готов много общаться внутри команды и с представителями заказчиков;</p> </li> <li> <p>быстро учишься, способен самостоятельно решать нестандартные задачи;</p> </li> <li> <p>умеешь добиваться нужного результата, решения вопроса/проблемы;</p> </li> <li> <p>Способен быстро переключаться между задачами, стрессоутойчив.</p> </li> </ul> <p><em>Будет преимуществом: опыт работы в техподдержке, IT-продуктах, call-центре или телекоммуникациях.</em></p> <p><strong>В сотрудниках мы ценим:</strong></p> <ul> <li> <p>Стремление понимать бизнес клиента и предлагать эффективные решения его задач;</p> </li> <li> <p>Полную отдачу проекту, ответственность и аккуратность;</p> </li> <li> <p>Умение добиваться поставленных целей в процессе решения задач;</p> </li> <li> <p>Способность объективно оценивать свои слабые и сильные стороны;</p> </li> <li> <p>Стремление к самосовершенствованию и росту, отсидеть рабочий день от звонка до звонка- не наша цель. Наша цель- наносить клиенту пользу, доставлять ценность.</p> </li> </ul> <p> </p> <p><strong>Испытательный срок 3 месяца</strong></p> <p><strong>График работы день/ночь/2 выходных 8:00-20:00/20:00-08:00/вых/вых</strong></p>|48750.0
85723953|Офис-менеджер|<p>Мы – надежный партнер в области информационных технологий и строительства, который объединяет интересы государственных корпораций, органов власти, генеральных проектировщиков и генеральных подрядчиков, производителей материалов и оборудования, финансовых организаций. Мы ищем и находим источники развития, мы генерируем новые идеи и изобретаем способы их реализации, мы проектируем и строим объекты. Мы создаем и развиваем сообщество компетентных и ответственных людей, в котором слова надежны как железо, финансовые риски сведены к нулю, а все проекты прозрачны и понятны.<br /><br /><strong>Чем нужно заниматься:</strong></p> <ul> <li>Прием и распределение входящих звонков;</li> <li>Прием и регистрация входящей и исходящей корреспонденции;</li> <li>Совместная работа с бухгалтерией в 1C;</li> <li>Обеспечение функционирования офиса (заказ канцтоваров, расходных материалов, контроль работы офисного оборудования, поддержание порядка, контроль за уборкой помещения и т.д.);</li> <li>Взаимодействие с курьерскими службами и почтовыми отделениями;</li> <li>Встреча гостей (чай/кофе);</li> <li>Поддержание благоприятной атмосферы в коллективе;</li> <li>Совместно с маркетологом организация корпоративных мероприятий/праздников (поздравление с 23 февраля, 8 марта и пр.);</li> <li>Выполнение поручений руководителя;</li> <li>Помощь сотрудникам по различным вопросам в рамках должности;</li> <li>Совместная работа с менеджером по персоналу.</li> </ul> <p><strong>Что мы ждем от Ваc:</strong></p> <ul> <li>Высшее образование / неполное высшее образование;</li> <li>Знание правил оформления первичной документации;</li> <li>Знание программ Microsoft Office (в т.ч.Word, Excel, Outlook)</li> <li>Организованность;</li> <li>Внимательность;</li> <li>Грамотная устная и письменная речь;</li> <li>Стрессоустойчивость;</li> <li>Отзывчивость;</li> <li>Коммуникабельность;</li> <li>Позитивный настрой;</li> <li>Хорошее чувство юмора;</li> <li>Знание 1С будет вашим преимуществом.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Интересная работа в стабильной, развивающейся компании, более 20 лет на рынке IT и мультимедиа, ежегодный рост бизнеса;</li> <li>KPI после испытательного срока;</li> <li>Поддержка со стороны руководства в достижении высоких результатов;</li> <li>Официальное оформление по ТК РФ;</li> <li>Возможность роста;</li> <li>ДМС после испытательного срока;</li> <li>Комфортный, просторный офис в бизнес-центре класса «А» около ст. м. Московская (м. Ленинский проспект).</li> </ul>|55000.0
86868221|Режиссер монтажа YouTube “Про Авиацию»|<p><strong>YouTube канал «Про Авиацию» ищет монтажера. Полная занятость.</strong></p> <p>Нужно уметь работать в Adobe Premiere Pro, а также делать несложную графику, инфографику в After Effects. Сюда входит трекинг, небольшая инфографика, работа с теймлейтами.</p> <p>Наша тематика реконструкции авиакатастроф и разные авиационные истории из прошлого, в формате документального кино. Прошу ознакомиться прежде чем, откликаться на вакансию. Рассмотрим ваши уже готовые проекты документального характера, а также шоурилы. (ПОРТФОЛИО С РЕКЛАМОЙ И КЛИПАМИ НЕ РАССМАТРИВАЕТСЯ).</p> <p>! Желательно.Также важно понимать что канал профильный и хотелось бы от кандидата видеть базовые знания мировой истории 1940 - по Н.В (период холодной войны, расклад сил на мировой арене, войны и так далее). Базовые знания из мира авиации тоже приветствуются. Это все очень упростит работу.</p> <p>Рабочий процесс проходит в телеграмме. Иногда если возникают вопросы собираемся в Discord и решаем вопросы. После старта работы предоставляем доступ к сервисам с музыкой, теймплейтами и пресетами что упрощает монтаж.</p> <p>График работы свободный. Подстраиваемся и договариваемся по факту собеседования.</p> <p>Зарплата у нас не фиксированная, зависит от количество успешно сделанных выпусков. (в среднем 10-20 тыс за каждый сделанный выпуск). Работаем ИП и самозанятый. Выплаты в течение недели после публикации. (стараемся делать выплату сразу после сдачи проекта)</p> <p>Резюме кандидатов без портфолио не рассматриваем.</p> <p>Внимание! Работа рассматривается только удаленно. Проектная работа возможна (необходима сообщить).</p>|55000.0
86125613|Менеджер чатов на дому (в Яндекс)|<p>Постройте вашу карьеру в Яндекс. Необходимо будет заполнить небольшую анкету, после чего с вами свяжутся для интервью.</p> <p><strong>Кого ищем?</strong></p> <p>Специалиста поддержки в сервисы Яндекс Go. Мы консультируем пользователей в чатах и по телефону, помогаем им по любым вопросам и решаем конфликтные ситуации. Делаем это и днем, и ночью (на выбор, конечно). Это удаленная работа на полный день за компьютером.</p> <p><strong>Что предстоит делать:</strong></p> <ul> <li> <p><strong>Можно зарабатывать 30.000-35.000 рублей при перевыполнении плана</strong></p> </li> </ul> <ul> <li>работать с клиентами или партнерами для решения разнообразных ситуаций;</li> <li>совершать звонки по их обращениям и давать письменные ответы;</li> <li>развивать процессы и инструменты для улучшения качества сервисов</li> </ul> <p><strong>Мы ищем человека, который:</strong></p> <ul> <li>способен работать в команде;</li> <li>способен принимать решения самостоятельно;</li> <li>готов учиться и узнавать новое.</li> </ul> <p><strong>Плюсами будут:</strong></p> <ul> <li>опыт работы в колл-центре или службе поддержки;</li> <li>желание расти и развиваться;</li> <li>широкий кругозор и чувство юмора :).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li><strong>работа на дому на своем оборудовании (компьютер или ноутбук);</strong></li> <li>оформление по ТК РФ;</li> <li>график 2/2/3 (день/ночь на выбор. Уточнение по графику: на одной неделе: ПН, ВТ – рабочие, СР, ЧТ – выходные, ПТ, СБ, ВС – рабочие, на второй неделе наоборот: ПН, ВТ – выходные, СР, ЧТ – рабочие, ПТ, СБ, ВС – выходные).</li> <li>удаленное оплачиваемое обучение, тренинги.</li> <li>отличную команду руководителей и наставников;</li> <li>возможность карьерного роста и развития;</li> <li>возможность самостоятельно влиять на свой доход.</li> </ul> <p>Для рассмотрения на вакансию, нажмите на кнопку <strong>&quot;Откликнуться&quot;</strong>, мы предложим выполнить небольшой тест. Он поможет определить, насколько вакансия хорошо подходит именно вам.</p> <p>Мы будем рады рассмотреть как специалистов с опытом работы в таких компаниях, как МТС, Билайн, Мегафон, Сбербанк, Открытие, Тинькофф,, Евросеть, Связной, М. Видео, Lamoda, так и кандидатов без опыта работы.</p> <p>В случае успешного выполнения заданий с вами свяжется рекрутер и обозначит дальнейшие шаги. Мы ждем вас!</p> <p><em>Данную работу не получится совмещать с работой водителем или курьером Яндекс.Go</em></p> <p># удаленная работа # работа из дома # работа дистанционно # удаленка # специалист поддержки # специалист по работе с клиентами # менеджер по работе с клиентами # оператор пк # без опыта # начинающий специалист # специалист</p>|37000.0
86685498|Начинающий web-разработчик (fullstack)|<p><strong>Обязанности:</strong></p> <ul> <li>Разработка новых сайтов и сервисов на битрикс/php/верстка;</li> <li>Поддержка и доработка существующих проектов в составе команды.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт разработки на PHP от 1 года или плотное прохождение курсов и обучения.</li> <li>Обязательны знания HTML, CSS, кроссбраузерной и адаптивной верстки.</li> <li>Знание JavaScript/Jquery.</li> <li>Плюсом будет умение работать с vue.js, опыт работы в других php фреймворках, опыт работы с MongoDB, опыт работы с PostgreSQL.</li> <li>Желателен опыт работы с базами данных MySQL.</li> <li>Приветствуется опыт работы с CMS: 1C-Bitrix, Bitrix-24, Wordpress, Opencart.</li> </ul> <p><strong>Дополнительным плюсом будет:</strong></p> <ul> <li>Опыт работы c такс менеджерами Trello, Jira, Slack и принципов Agile.</li> <li>Наличие сертификатов разработчика Bitrix.</li> <li>Знакомство с БЭМ методологией web-разработки.</li> <li>Наличие сертификатов, свидетельствующих о посещении семинаров и конференций в сфере IT.</li> <li>Опыт работы с системами контроля версий.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Стажировка 2 месяца;</li> <li>Работа с РФ и международными проектами в сфере блокчейн/e-commerce (основной акцент компании в текущее время это web3 проекты, но так-же множество из мира web2);</li> <li>Дружный профессиональный коллектив и адекватное руководство (не просто слова, но работает это только при адекватности сотрудника);</li> <li>Удаленная работа из любой точки мира (где стабильный интернет:)</li> <li>При желании работа в современном офисе напротив ТРЦ &quot;Фантастика&quot; (кофемашина, печенье и прочие блага цивилизации :)</li> </ul> <ul> <li>Бурное развитие и профессиональный рост (любителей ИБД просьба не беспокоить)</li> </ul>|55000.0
83979988|Оператор call-центра (по телефону)|<p><strong>Группа Актион</strong> - крупнейший издательский холдинг России с филиальной сетью в 20 городах РФ.</p> <p>Мы разрабатываем продукты для коммерческих и государственных учреждений:</p> <ul> <li>выпускаем электронные и печатные журналы: Главбух, Упрощенка, Генеральный директор, Кадровое дело и другие;</li> <li>создаем справочные системы: система Главбух, Финансовый директор, Госзаказ;</li> <li>разрабатываем технологии для автоматизации процессов: Бизнес.ру, XSUD, Арника;</li> <li>выполняем крупные госконтракты: консультируем население и разрабатываем программное обеспечение;</li> <li>обучаем специалистов в онлайн-школах для бухгалтеров, кадровых специалистов, юристов и управленцев.</li> </ul> <p><strong>Задачи:</strong></p> <ul> <li>продажи по телефону без поиска клиентов и личных встреч;</li> <li>консультация клиентов по продуктам компании;</li> <li>оформление сделок и контроль оплаты счетов;</li> <li>нет опыта работы в продажах? Не проблема – мы научим!</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>официально оформляем с первого дня обучения;</li> <li>гарантируем белый оклад, премию за продажи и бонусы за стаж;</li> <li>поощряем в размере 20%, 40%, 60% к окладу по итогам полугодовой аттестации;</li> <li>работаем в будни 5/2 с 08:00 до 17:00, отдыхаем в выходные и праздники;</li> <li>предоставляем ДМС;</li> <li>оплачиваем отпуска и больничные;</li> <li>работаем в технологичном офисе на ул. Партизанская 88 (ост. Дзержинского).</li> </ul> <p><strong>Приятные бонусы</strong><strong>:</strong></p> <ul> <li>оплачиваем обучение и стажировку;</li> <li>снижаем планы на время адаптации;</li> <li>проводим тренинги личной эффективности;</li> <li>предоставляем бесплатный доступ к библиотеке знаний Актион-МЦФЭР;</li> <li>продвигаем лучших сотрудников на руководящие позиции;</li> <li>вместе отмечаем праздники, веселимся на корпоративах, лучших менеджеров собираем на тимбилдингах заграницей</li> </ul> <p><strong>Откликайся на вакансию и мы перезвоним!</strong></p>|65000.0
86130891|Менеджер чатов, удалённо (в Яндекс)|<p>Постройте вашу карьеру в Яндекс. Необходимо будет заполнить небольшую анкету, после чего с вами свяжутся для интервью.</p> <p><strong>Кого ищем?</strong></p> <p>Специалиста поддержки в сервисы Яндекс Go. Мы консультируем пользователей в чатах и по телефону, помогаем им по любым вопросам и решаем конфликтные ситуации. Делаем это и днем, и ночью (на выбор, конечно). Это удаленная работа на полный день за компьютером.</p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>работать с клиентами или партнерами для решения разнообразных ситуаций;</li> <li>совершать звонки по их обращениям и давать письменные ответы;</li> <li>развивать процессы и инструменты для улучшения качества сервисов</li> </ul> <p><strong>Мы ищем человека, который:</strong></p> <ul> <li>способен работать в команде;</li> <li>способен принимать решения самостоятельно;</li> <li>готов учиться и узнавать новое.</li> </ul> <p><strong>Плюсами будут:</strong></p> <ul> <li>опыт работы в колл-центре или службе поддержки;</li> <li>желание расти и развиваться;</li> <li>широкий кругозор и чувство юмора :).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p><strong>Можно зарабатывать 30.000-35.000 рублей при перевыполнении плана;</strong></p> </li> <li>работа на дому на своем оборудовании (компьютер или ноутбук);</li> <li>оформление по ТК РФ;</li> <li>график 2/2/3 (день/ночь на выбор. Уточнение по графику: на одной неделе: ПН, ВТ – рабочие, СР, ЧТ – выходные, ПТ, СБ, ВС – рабочие, на второй неделе наоборот: ПН, ВТ – выходные, СР, ЧТ – рабочие, ПТ, СБ, ВС – выходные).</li> <li>удаленное оплачиваемое обучение, тренинги.</li> <li>отличную команду руководителей и наставников;</li> <li>возможность карьерного роста и развития;</li> <li>возможность самостоятельно влиять на свой доход.</li> </ul> <p>Для рассмотрения на вакансию, нажмите на кнопку <strong>&quot;Откликнуться&quot;</strong>, мы предложим выполнить небольшой тест. Он поможет определить, насколько вакансия хорошо подходит именно вам.</p> <p>Мы будем рады рассмотреть как специалистов с опытом работы в таких компаниях, как МТС, Билайн, Мегафон, Сбербанк, Открытие, Тинькофф,, Евросеть, Связной, М. Видео, Lamoda, так и кандидатов без опыта работы.</p> <p>В случае успешного выполнения заданий с вами свяжется рекрутер и обозначит дальнейшие шаги. Мы ждем вас!</p> <p><em>Данную работу не получится совмещать с работой водителем или курьером Яндекс.Go</em></p> <p># удаленная работа # работа из дома # работа дистанционно # удаленка # специалист поддержки # специалист по работе с клиентами # менеджер по работе с клиентами # оператор пк # без опыта # начинающий специалист # специалист</p>|37000.0
86306425|Project manager|<p>Привет! Мы <strong>Digital Agency Xpage</strong> из Челябинска. Уже более 20 лет мы работаем в IT-сфере и помогаем своим клиентам получать максимум пользы от современных технологий, инструментов веб-разработки, интернет-рекламы, дизайна и автоматизации бизнес-процессов.</p> <p>Сейчас мы расширяем производственный отдел и ищем <strong>project manager</strong> на<strong> </strong>web и мобильные приложения. Ждем опытного коллегу, который включится в наши внутренние процессы, будет управлять проектами, а также взаимодействовать с клиентами и командой.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Вести и контролировать интернет-проекты на всех этапах: от анализа и подготовки, в течение разработки и тестирования, во время запуска и сопровождения проекта,</p> </li> <li> <p>Коммуницировать с клиентами, управлять ожиданиями на протяжении всего этапа разработки проекта,</p> </li> <li> <p>Изучать специфику бизнеса клиента, бизнес-процессы и предлагать решения для реализации проектов,</p> </li> <li> <p>Работать с командой – формулировать и ставить задачи исполнителям (дизайнер, верстальщик, программист, контент-менеджер),</p> </li> <li> <p>Курировать разработку, результаты и сроки выполнения,</p> </li> <li> <p>Составлять ТЗ, вести проектную документацию, утверждать ее с клиентом и предоставлять им отчеты о проделанной работе,</p> </li> <li> <p>Своевременно решать возникающие в процессе выполнения проектов проблемы, урегулировать спорные вопросы,</p> </li> <li> <p>Постоянно работать над улучшением качества и эффективности разработки проектов.</p> </li> </ul> <p><strong>Круто, если у тебя есть:</strong></p> <ul> <li> <p>Опыт работы на аналогичных позициях (менеджер интернет-проектов или аккаунт-менеджер) от 1 года,</p> </li> <li> <p>Реализованные проекты по разработке интернет-проектов,</p> </li> <li> <p>Навыки разработки и написания документации по проектам,</p> </li> <li> <p>Умение быстро реагировать на ситуацию и качественно вести несколько проектов одновременно,</p> </li> <li> <p>Знание основ интернет-маркетинга.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>График работы 5/2, с 9:00 до 18:00,</p> </li> <li> <p>Комфортный офис в сердце Челябинска (Gagarin Residence, Лесопарковая 8),</p> </li> <li> <p>Оплачиваемый испытательный срок 2 месяца,</p> </li> <li> <p>Официальное трудоустройство после испытательного,</p> </li> <li> <p>Возможность повысить свой уровень заработной платы с ростом компетенций,</p> </li> <li> <p>Большие возможности не только применить свой опыт, но и приобрести новый,</p> </li> <li> <p>Адекватная команда с экологичной и бережной культурой.</p> </li> </ul> <p>Нам будет интересно друг с другом, если ты готов(-а) стать частью команды, расти и развиваться вместе с нами. Ты получишь серьезные задачи, профессиональное развитие и удовольствие от работы.</p> <p><strong>Digital agency Xpage</strong> — это, прежде всего, команда высококлассных профессионалов и амбициозных специалистов. Даже если вы уже работаете, пишите – уверены, что общение будет полезным для обеих сторон.</p> <p><strong>Будем рады познакомиться и пообщаться. Напиши небольшое сопроводительное письмо о себе и начнем диалог :) До встречи!</strong></p>|70000.0
